10/11/2014 19:57:44 [INFO] Generating data for new user 265864424
10/11/2014 19:57:44 [INFO] Generating data for new user 051264446
10/11/2014 19:57:44 [INFO] Generating data for new user 546733571
10/11/2014 19:57:44 [INFO] Generating data for new user 333614428
10/11/2014 19:57:44 [INFO] Generating data for new user 355484305
10/11/2014 19:57:44 [INFO] Generating data for new user 406370557
10/11/2014 19:57:44 [INFO] Generating data for new user 145284565
10/11/2014 19:57:44 [INFO] Generating data for new user 426078747
10/11/2014 19:57:44 [INFO] Generating data for new user 870615366
10/11/2014 19:57:44 [INFO] Generating data for new user 046764877
10/11/2014 19:57:44 [INFO] Generating data for new user 516683003
10/11/2014 19:57:44 [INFO] Generating data for new user 633521611
10/11/2014 19:57:44 [INFO] Generating data for new user 248705426
10/11/2014 19:57:44 [INFO] Generating data for new user 001563146
10/11/2014 19:57:44 [INFO] Generating data for new user 538870416
10/11/2014 19:57:44 [INFO] Generating data for new user 414067123
10/11/2014 19:57:44 [INFO] Generating data for new user 508740172
10/11/2014 19:57:44 [INFO] Generating data for new user 365252570
10/11/2014 19:57:44 [INFO] Generating data for new user 017680141
10/11/2014 19:57:44 [INFO] Generating data for new user 006225335
10/11/2014 19:57:44 [INFO] Generating data for new user 482315328
10/11/2014 19:57:44 [INFO] Generating data for new user 844887835
10/11/2014 19:57:44 [INFO] Generating data for new user 174047534
10/11/2014 19:57:44 [INFO] Generating data for new user 264058763
10/11/2014 19:57:44 [INFO] Generating data for new user 184731888
10/11/2014 19:57:44 [INFO] Generating data for new user 857714374
10/11/2014 19:57:44 [INFO] Generating data for new user 645461180
10/11/2014 19:57:44 [INFO] Generating data for new user 362050026
10/11/2014 19:57:44 [INFO] Generating data for new user 208683032
10/11/2014 19:57:44 [INFO] Generating data for new user 461178175
10/11/2014 19:57:44 [INFO] Generating data for new user 737047360
10/11/2014 19:57:44 [INFO] Generating data for new user 103345023
10/11/2014 19:57:44 [INFO] Generating data for new user 522706581
10/11/2014 19:57:44 [INFO] Generating data for new user 164581452
10/11/2014 19:57:44 [INFO] Generating data for new user 668213417
10/11/2014 19:57:44 [INFO] Generating data for new user 604167368
10/11/2014 19:57:44 [INFO] Generating data for new user 125824227
10/11/2014 19:57:44 [INFO] Generating data for new user 804260010
10/11/2014 19:57:44 [INFO] Generating data for new user 622250460
10/11/2014 19:57:44 [INFO] Generating data for new user 236107787
10/11/2014 19:57:44 [INFO] Generating data for new user 722135614
10/11/2014 19:57:44 [INFO] Generating data for new user 033163461
10/11/2014 19:57:44 [INFO] Generating data for new user 648374770
10/11/2014 19:57:44 [INFO] Generating data for new user 757768861
10/11/2014 19:57:44 [INFO] Generating data for new user 303430577
10/11/2014 19:57:44 [INFO] Generating data for new user 810432033
10/11/2014 19:57:44 [INFO] Generating data for new user 340628020
10/11/2014 19:57:44 [INFO] Generating data for new user 546143617
10/11/2014 19:57:44 [INFO] Generating data for new user 662372522
10/11/2014 19:57:44 [INFO] Generating data for new user 320468202
10/11/2014 19:57:44 [INFO] Generating data for new user 007823413
10/11/2014 19:57:44 [INFO] Generating data for new user 582365511
10/11/2014 19:57:44 [INFO] Generating data for new user 684856370
10/11/2014 19:57:44 [INFO] Generating data for new user 057273044
10/11/2014 19:57:44 [INFO] Generating data for new user 262528374
10/11/2014 19:57:44 [INFO] Generating data for new user 080137014
10/11/2014 19:57:44 [INFO] Generating data for new user 726804848
10/11/2014 19:57:44 [INFO] Generating data for new user 326760121
10/11/2014 19:57:44 [INFO] Generating data for new user 652064041
10/11/2014 19:57:44 [INFO] Generating data for new user 713550340
10/11/2014 19:57:44 [INFO] Generating data for new user 044386733
10/11/2014 19:57:44 [INFO] Generating data for new user 384161183
10/11/2014 19:57:44 [INFO] Generating data for new user 805125704
10/11/2014 19:57:44 [INFO] Generating data for new user 358148426
10/11/2014 19:57:44 [INFO] Generating data for new user 186287844
10/11/2014 19:57:44 [INFO] Generating data for new user 545361116
10/11/2014 19:57:44 [INFO] Generating data for new user 548815314
10/11/2014 19:57:44 [INFO] Generating data for new user 077084368
10/11/2014 19:57:44 [INFO] Generating data for new user 122836202
10/11/2014 19:57:44 [INFO] Generating data for new user 868725830
10/11/2014 19:57:44 [INFO] Generating data for new user 555561036
10/11/2014 19:57:44 [INFO] Generating data for new user 258201264
10/11/2014 19:57:44 [INFO] Generating data for new user 035143242
10/11/2014 19:57:44 [INFO] Generating data for new user 250340148
10/11/2014 19:57:44 [INFO] Generating data for new user 200230708
10/11/2014 19:57:44 [INFO] Generating data for new user 147175216
10/11/2014 19:57:44 [INFO] Generating data for new user 237221042
10/11/2014 19:57:44 [INFO] Generating data for new user 722468725
10/11/2014 19:57:44 [INFO] Generating data for new user 715648424
10/11/2014 19:57:44 [INFO] Generating data for new user 841023100
10/11/2014 19:57:44 [INFO] Generating data for new user 212584744
10/11/2014 19:57:44 [INFO] Generating data for new user 484442723
10/11/2014 19:57:44 [INFO] Generating data for new user 311031857
10/11/2014 19:57:44 [INFO] Generating data for new user 580326537
10/11/2014 19:57:44 [INFO] Generating data for new user 288116714
10/11/2014 19:57:44 [INFO] Generating data for new user 403307166
10/11/2014 19:57:44 [INFO] Generating data for new user 533718348
10/11/2014 19:57:44 [INFO] Generating data for new user 622207733
10/11/2014 19:57:44 [INFO] Generating data for new user 245543311
10/11/2014 19:57:44 [INFO] Generating data for new user 217685678
10/11/2014 19:57:44 [INFO] Generating data for new user 782587283
10/11/2014 19:57:44 [INFO] Generating data for new user 664058000
10/11/2014 19:57:44 [INFO] Generating data for new user 734832452
10/11/2014 19:57:44 [INFO] Generating data for new user 617467507
10/11/2014 19:57:44 [INFO] Generating data for new user 705328567
10/11/2014 19:57:44 [INFO] Generating data for new user 750861815
10/11/2014 19:57:44 [INFO] Generating data for new user 281353632
10/11/2014 19:57:44 [INFO] Generating data for new user 800141566
10/11/2014 19:57:44 [INFO] Generating data for new user 302474150
10/11/2014 19:57:44 [INFO] Generating data for new user 310742740
10/11/2014 19:57:44 [INFO] Generating data for new user 752535523
10/11/2014 19:57:44 [INFO] Generating data for new user 163214607
10/11/2014 19:57:44 [INFO] Generating data for new user 651017548
10/11/2014 19:57:44 [INFO] Generating data for new user 870480511
10/11/2014 19:57:44 [INFO] Generating data for new user 165824742
10/11/2014 19:57:44 [INFO] Generating data for new user 070671482
10/11/2014 19:57:44 [INFO] Generating data for new user 714644325
10/11/2014 19:57:44 [INFO] Generating data for new user 766164042
10/11/2014 19:57:44 [INFO] Generating data for new user 568137106
10/11/2014 19:57:44 [INFO] Generating data for new user 800421112
10/11/2014 19:57:44 [INFO] Generating data for new user 307534145
10/11/2014 19:57:44 [INFO] Generating data for new user 100445345
10/11/2014 19:57:44 [INFO] Generating data for new user 865104568
10/11/2014 19:57:44 [INFO] Generating data for new user 102045563
10/11/2014 19:57:44 [INFO] Generating data for new user 056425177
10/11/2014 19:57:44 [INFO] Generating data for new user 225663378
